State_Code,State_Abv,Offense_Type,Total_Offenses
28,MS,Arson,185
28,MS,Bribery,5
28,MS,Burglary/ Breaking & Entering,6125
28,MS,Counterfeiting/ Forgery,927
28,MS,Destruction/ Damage/ Vandalism ,8779
28,MS,Embezzlement,750
28,MS,Extortion/ Blackmail,53
28,MS,Fraud Offenses,4528
28,MS,Larceny/ Theft Offenses,21874
28,MS,Motor Vehicle Theft,3059
28,MS,Robbery,465
28,MS,Stolen Property Offenses,947
29,MO,Arson,1106
29,MO,Bribery,10
29,MO,Burglary/ Breaking & Entering,17370
29,MO,Counterfeiting/ Forgery,4166
29,MO,Destruction/ Damage/ Vandalism ,40555
29,MO,Embezzlement,545
29,MO,Extortion/ Blackmail,116
29,MO,Fraud Offenses,13960
29,MO,Larceny/ Theft Offenses,97843
29,MO,Motor Vehicle Theft,22462
29,MO,Robbery,3596
29,MO,Stolen Property Offenses,3334
30,MT,Arson,205
30,MT,Bribery,2
30,MT,Burglary/ Breaking & Entering,2530
30,MT,Counterfeiting/ Forgery,773
30,MT,Destruction/ Damage/ Vandalism ,8147
30,MT,Embezzlement,55
30,MT,Extortion/ Blackmail,5
30,MT,Fraud Offenses,2210
30,MT,Larceny/ Theft Offenses,17442
30,MT,Motor Vehicle Theft,2967
30,MT,Robbery,289
30,MT,Stolen Property Offenses,471
31,NE,Arson,182
31,NE,Bribery,6
31,NE,Burglary/ Breaking & Entering,2342
31,NE,Counterfeiting/ Forgery,977
31,NE,Destruction/ Damage/ Vandalism ,9922
31,NE,Embezzlement,135
31,NE,Extortion/ Blackmail,130
31,NE,Fraud Offenses,4784
31,NE,Larceny/ Theft Offenses,15465
31,NE,Motor Vehicle Theft,1750
31,NE,Robbery,240
31,NE,Stolen Property Offenses,351
32,NV,Arson,407
32,NV,Bribery,18
32,NV,Burglary/ Breaking & Entering,12406
32,NV,Counterfeiting/ Forgery,1585
32,NV,Destruction/ Damage/ Vandalism ,21572
32,NV,Embezzlement,1172
32,NV,Extortion/ Blackmail,267
32,NV,Fraud Offenses,13578
32,NV,Larceny/ Theft Offenses,45412
32,NV,Motor Vehicle Theft,13703
32,NV,Robbery,2312
32,NV,Stolen Property Offenses,2717
33,NH,Arson,108
33,NH,Bribery,3
33,NH,Burglary/ Breaking & Entering,957
33,NH,Counterfeiting/ Forgery,629
33,NH,Destruction/ Damage/ Vandalism ,7353
33,NH,Embezzlement,118
33,NH,Extortion/ Blackmail,143
33,NH,Fraud Offenses,5334
33,NH,Larceny/ Theft Offenses,11534
33,NH,Motor Vehicle Theft,892
33,NH,Robbery,181
33,NH,Stolen Property Offenses,671
34,NJ,Arson,93
34,NJ,Bribery,1
34,NJ,Burglary/ Breaking & Entering,3114
34,NJ,Counterfeiting/ Forgery,1245
34,NJ,Destruction/ Damage/ Vandalism ,6052
34,NJ,Embezzlement,125
34,NJ,Extortion/ Blackmail,201
34,NJ,Fraud Offenses,10330
34,NJ,Larceny/ Theft Offenses,23380
34,NJ,Motor Vehicle Theft,5079
34,NJ,Robbery,1243
34,NJ,Stolen Property Offenses,325
35,NM,Arson,230
35,NM,Bribery,38
35,NM,Burglary/ Breaking & Entering,7249
35,NM,Counterfeiting/ Forgery,593
35,NM,Destruction/ Damage/ Vandalism ,15760
35,NM,Embezzlement,411
35,NM,Extortion/ Blackmail,91
35,NM,Fraud Offenses,8583
35,NM,Larceny/ Theft Offenses,25657
35,NM,Motor Vehicle Theft,7316
35,NM,Robbery,2029
35,NM,Stolen Property Offenses,959
36,NY,Arson,394
36,NY,Bribery,5
36,NY,Burglary/ Breaking & Entering,5305
36,NY,Counterfeiting/ Forgery,998
36,NY,Destruction/ Damage/ Vandalism ,22160
36,NY,Embezzlement,25
36,NY,Extortion/ Blackmail,155
36,NY,Fraud Offenses,10025
36,NY,Larceny/ Theft Offenses,39528
36,NY,Motor Vehicle Theft,4082
36,NY,Robbery,1520
36,NY,Stolen Property Offenses,1087
37,NC,Arson,1420
37,NC,Bribery,11
37,NC,Burglary/ Breaking & Entering,36508
37,NC,Counterfeiting/ Forgery,4324
37,NC,Destruction/ Damage/ Vandalism ,61076
37,NC,Embezzlement,1913
37,NC,Extortion/ Blackmail,816
37,NC,Fraud Offenses,43312
37,NC,Larceny/ Theft Offenses,158155
37,NC,Motor Vehicle Theft,18779
37,NC,Robbery,5840
