State_Code,State_Abv,Offense_Type,Total_Offenses
49,UT,Prostitution Offenses,134
49,UT,Weapon Law Violations,3758
50,VT,Animal Cruelty,28
50,VT,Drugs/Narcotic Offenses,1169
50,VT,Pornography,81
50,VT,Prostitution Offenses,10
50,VT,Weapon Law Violations,97
51,VA,Animal Cruelty,1185
51,VA,Drugs/Narcotic Offenses,35386
51,VA,Pornography,2084
51,VA,Prostitution Offenses,373
51,VA,Weapon Law Violations,14185
53,WA,Animal Cruelty,299
53,WA,Drugs/Narcotic Offenses,9325
53,WA,Pornography,619
53,WA,Prostitution Offenses,314
53,WA,Weapon Law Violations,5422
54,WV,Animal Cruelty,25
54,WV,Drugs/Narcotic Offenses,11512
54,WV,Pornography,498
54,WV,Prostitution Offenses,49
54,WV,Weapon Law Violations,1434
55,WI,Animal Cruelty,309
55,WI,Drugs/Narcotic Offenses,45779
55,WI,Pornography,1752
55,WI,Prostitution Offenses,324
55,WI,Weapon Law Violations,12337
56,WY,Animal Cruelty,75
56,WY,Drugs/Narcotic Offenses,2750
56,WY,Pornography,95
56,WY,Prostitution Offenses,17
56,WY,Weapon Law Violations,157
